
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    3511;12.07.22;11:08:30;Type: LC 
    3512;12.07.22;11:08:30;20180201.par
    3511;12.07.22;11:08:30;1;7;15; --- ;0;Fo: ;0;0;838;0;0;Fm: ;0;0;1721;0;0
    3511;12.07.22;11:08:30;1;1;15; --- ;0;0;0;838;0;0;0;0;1721;0;0;0.000;0.000;0.513;0.000;0.000;    0;    0;    0;    0;    0;
    3571;12.07.22;11:09:30;2;32;15; --- ;5;0;0;867;0;0;0;0;1692;0;0;0.000;0.000;0.488;0.000;0.000;    0;    0;    1;    0;    0;
    3631;12.07.22;11:10:30;3;64;15; --- ;10;0;0;879;0;0;0;0;1729;0;0;0.000;0.000;0.492;0.000;0.000;    0;    0;    2;    0;    0;
    3691;12.07.22;11:11:30;4;128;15; --- ;21;0;0;869;0;0;0;0;1720;0;0;0.000;0.000;0.495;0.000;0.000;    0;    0;    4;    0;    0;
    3751;12.07.22;11:12:30;5;128;15; --- ;33;0;0;948;0;0;0;0;1795;0;0;0.000;0.000;0.472;0.000;0.000;    0;    0;    7;    0;    0;
    3811;12.07.22;11:13:30;6;128;15; --- ;47;0;0;1021;0;0;0;0;1725;0;0;0.000;0.000;0.408;0.000;0.000;    0;    0;    8;    0;    0;
    3871;12.07.22;11:14:30;7;128;15; --- ;81;0;0;1066;0;0;0;0;1597;0;0;0.000;0.000;0.332;0.000;0.000;    0;    0;   11;    0;    0;
    3931;12.07.22;11:15:30;8;128;15; --- ;127;0;0;1060;0;0;0;0;1486;0;0;0.000;0.000;0.287;0.000;0.000;    0;    0;   15;    0;    0;
    3991;12.07.22;11:16:30;9;128;15; --- ;240;0;0;1031;0;0;0;0;1335;0;0;0.000;0.000;0.228;0.000;0.000;    0;    0;   23;    0;    0;
    4051;12.07.22;11:17:30;10;128;15; --- ;404;0;0;1018;0;0;0;0;1249;0;0;0.000;0.000;0.185;0.000;0.000;    0;    0;   31;    0;    0;
    4111;12.07.22;11:18:30;11;128;15; --- ;553;0;0;1016;0;0;0;0;1197;0;0;0.000;0.000;0.151;0.000;0.000;    0;    0;   35;    0;    0;
    4171;12.07.22;11:19:30;12;128;15; --- ;667;0;0;992;0;0;0;0;1156;0;0;0.000;0.000;0.142;0.000;0.000;    0;    0;   40;    0;    0;
    4231;12.07.22;11:20:30;13;128;15; --- ;787;0;0;1011;0;0;0;0;1155;0;0;0.000;0.000;0.125;0.000;0.000;    0;    0;   41;    0;    0;
    4291;12.07.22;11:21:30;14;128;15; --- ;934;0;0;1001;0;0;0;0;1122;0;0;0.000;0.000;0.108;0.000;0.000;    0;    0;   42;    0;    0;
