
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
  264061;23.11.21;11:56:10;Type: LC 
  264062;23.11.21;11:56:11;20180201.par
  264061;23.11.21;11:56:10;1;6;14; --- ;0;Fo: ;0;0;901;0;0;Fm: ;0;0;1959;0;0
  264061;23.11.21;11:56:10;1;2;14; --- ;0;0;0;901;0;0;0;0;1959;0;0;0.000;0.000;0.540;0.000;0.000;    0;    0;    0;    0;    0;
  264152;23.11.21;11:57:41;2;32;14; --- ;5;0;0;974;0;0;0;0;2033;0;0;0.000;0.000;0.521;0.000;0.000;    0;    0;    1;    0;    0;
  264242;23.11.21;11:59:11;3;64;14; --- ;10;0;0;960;0;0;0;0;2028;0;0;0.000;0.000;0.527;0.000;0.000;    0;    0;    2;    0;    0;
  264332;23.11.21;12:00:41;4;128;14; --- ;21;0;0;955;0;0;0;0;2087;0;0;0.000;0.000;0.542;0.000;0.000;    0;    0;    5;    0;    0;
  264422;23.11.21;12:02:11;5;128;14; --- ;33;0;0;987;0;0;0;0;2333;0;0;0.000;0.000;0.577;0.000;0.000;    0;    0;    8;    0;    0;
  264512;23.11.21;12:03:41;6;128;14; --- ;47;0;0;1085;0;0;0;0;2220;0;0;0.000;0.000;0.511;0.000;0.000;    0;    0;   10;    0;    0;
  264602;23.11.21;12:05:11;7;128;14; --- ;127;0;0;1184;0;0;0;0;1811;0;0;0.000;0.000;0.346;0.000;0.000;    0;    0;   18;    0;    0;
  264692;23.11.21;12:06:41;8;128;14; --- ;240;0;0;1124;0;0;0;0;1564;0;0;0.000;0.000;0.281;0.000;0.000;    0;    0;   28;    0;    0;
  264782;23.11.21;12:08:11;9;128;14; --- ;404;0;0;1120;0;0;0;0;1440;0;0;0.000;0.000;0.222;0.000;0.000;    0;    0;   38;    0;    0;
  264872;23.11.21;12:09:41;10;128;14; --- ;553;0;0;1114;0;0;0;0;1368;0;0;0.000;0.000;0.186;0.000;0.000;    0;    0;   43;    0;    0;
  264962;23.11.21;12:11:11;11;128;14; --- ;667;0;0;1120;0;0;0;0;1339;0;0;0.000;0.000;0.164;0.000;0.000;    0;    0;   46;    0;    0;
  265052;23.11.21;12:12:41;12;128;14; --- ;787;0;0;1121;0;0;0;0;1309;0;0;0.000;0.000;0.144;0.000;0.000;    0;    0;   47;    0;    0;
  265142;23.11.21;12:14:11;13;128;14; --- ;934;0;0;1115;0;0;0;0;1265;0;0;0.000;0.000;0.119;0.000;0.000;    0;    0;   47;    0;    0;
