
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   89213;05.07.22;11:37:52;Type: LC 
   89214;05.07.22;11:37:52;20180201.par
   89213;05.07.22;11:37:52;1;7;15; --- ;0;Fo: ;0;0;1026;0;0;Fm: ;0;0;2271;0;0
   89213;05.07.22;11:37:52;1;1;15; --- ;0;0;0;1026;0;0;0;0;2271;0;0;0.000;0.000;0.548;0.000;0.000;    0;    0;    0;    0;    0;
   89273;05.07.22;11:38:52;2;32;15; --- ;5;0;0;1078;0;0;0;0;2248;0;0;0.000;0.000;0.520;0.000;0.000;    0;    0;    1;    0;    0;
   89333;05.07.22;11:39:52;3;64;15; --- ;10;0;0;1082;0;0;0;0;2299;0;0;0.000;0.000;0.529;0.000;0.000;    0;    0;    2;    0;    0;
   89393;05.07.22;11:40:52;4;128;15; --- ;21;0;0;1091;0;0;0;0;2407;0;0;0.000;0.000;0.547;0.000;0.000;    0;    0;    5;    0;    0;
   89453;05.07.22;11:41:52;5;128;15; --- ;33;0;0;1135;0;0;0;0;2663;0;0;0.000;0.000;0.574;0.000;0.000;    0;    0;    8;    0;    0;
   89513;05.07.22;11:42:52;6;128;15; --- ;47;0;0;1291;0;0;0;0;2592;0;0;0.000;0.000;0.502;0.000;0.000;    0;    0;   10;    0;    0;
   89573;05.07.22;11:43:52;7;128;15; --- ;81;0;0;1415;0;0;0;0;2350;0;0;0.000;0.000;0.398;0.000;0.000;    0;    0;   14;    0;    0;
   89633;05.07.22;11:44:52;8;128;15; --- ;127;0;0;1396;0;0;0;0;2122;0;0;0.000;0.000;0.342;0.000;0.000;    0;    0;   18;    0;    0;
   89693;05.07.22;11:45:52;9;128;15; --- ;240;0;0;1338;0;0;0;0;1852;0;0;0.000;0.000;0.278;0.000;0.000;    0;    0;   28;    0;    0;
   89753;05.07.22;11:46:52;10;128;15; --- ;404;0;0;1295;0;0;0;0;1671;0;0;0.000;0.000;0.225;0.000;0.000;    0;    0;   38;    0;    0;
   89813;05.07.22;11:47:52;11;128;15; --- ;553;0;0;1276;0;0;0;0;1579;0;0;0.000;0.000;0.192;0.000;0.000;    0;    0;   45;    0;    0;
   89873;05.07.22;11:48:52;12;128;15; --- ;667;0;0;1277;0;0;0;0;1539;0;0;0.000;0.000;0.170;0.000;0.000;    0;    0;   48;    0;    0;
   89933;05.07.22;11:49:52;13;128;15; --- ;787;0;0;1256;0;0;0;0;1477;0;0;0.000;0.000;0.150;0.000;0.000;    0;    0;   49;    0;    0;
   89993;05.07.22;11:50:52;14;128;15; --- ;934;0;0;1249;0;0;0;0;1432;0;0;0.000;0.000;0.128;0.000;0.000;    0;    0;   50;    0;    0;
