
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   12569;02.12.22;14:51:16;Type: LC 
   12570;02.12.22;14:51:17;20180201.par
   12569;02.12.22;14:51:16;1;7;16; --- ;0;Fo: ;0;0;1124;0;0;Fm: ;0;0;1712;0;0
   12569;02.12.22;14:51:16;1;1;16; --- ;0;0;0;1124;0;0;0;0;1712;0;0;    0;    0; 1124;    0;    0;0.000;0.000;0.343;0.000;0.000;    0;    0;    0;    0;    0;
   12630;02.12.22;14:52:17;2;32;16; --- ;5;0;0;1156;0;0;0;0;1641;0;0;    0;    0; 1093;    0;    0;0.000;0.000;0.296;0.000;0.000;    0;    0;    0;    0;    0;
   12690;02.12.22;14:53:17;3;64;16; --- ;10;0;0;1165;0;0;0;0;1652;0;0;    0;    0; 1098;    0;    0;0.000;0.000;0.295;0.000;0.000;    0;    0;    1;    0;    0;
   12750;02.12.22;14:54:17;4;128;16; --- ;21;0;0;1155;0;0;0;0;1640;0;0;    0;    0; 1093;    0;    0;0.000;0.000;0.296;0.000;0.000;    0;    0;    3;    0;    0;
   12810;02.12.22;14:55:17;5;128;16; --- ;93;0;0;1410;0;0;0;0;1956;0;0;    0;    0; 1224;    0;    0;0.000;0.000;0.279;0.000;0.000;    0;    0;   11;    0;    0;
   12870;02.12.22;14:56:17;6;128;16; --- ;119;0;0;1331;0;0;0;0;1815;0;0;    0;    0; 1167;    0;    0;0.000;0.000;0.267;0.000;0.000;    0;    0;   13;    0;    0;
   12930;02.12.22;14:57:17;7;128;16; --- ;178;0;0;1312;0;0;0;0;1728;0;0;    0;    0; 1131;    0;    0;0.000;0.000;0.241;0.000;0.000;    0;    0;   18;    0;    0;
   12990;02.12.22;14:58:17;8;128;16; --- ;261;0;0;1330;0;0;0;0;1683;0;0;    0;    0; 1111;    0;    0;0.000;0.000;0.210;0.000;0.000;    0;    0;   23;    0;    0;
   13050;02.12.22;14:59:17;9;128;16; --- ;463;0;0;1316;0;0;0;0;1572;0;0;    0;    0; 1062;    0;    0;0.000;0.000;0.163;0.000;0.000;    0;    0;   32;    0;    0;
   13110;02.12.22;15:00:17;10;128;16; --- ;753;0;0;1315;0;0;0;0;1494;0;0;    0;    0; 1026;    0;    0;0.000;0.000;0.120;0.000;0.000;    0;    0;   38;    0;    0;
   13170;02.12.22;15:01:17;11;128;16; --- ;1007;0;0;1326;0;0;0;0;1463;0;0;    0;    0; 1011;    0;    0;0.000;0.000;0.094;0.000;0.000;    0;    0;   40;    0;    0;
   13230;02.12.22;15:02:17;12;128;16; --- ;1207;0;0;1303;0;0;0;0;1405;0;0;    0;    0;  983;    0;    0;0.000;0.000;0.073;0.000;0.000;    0;    0;   37;    0;    0;
   13290;02.12.22;15:03:17;13;128;16; --- ;1413;0;0;1277;0;0;0;0;1363;0;0;    0;    0;  962;    0;    0;0.000;0.000;0.063;0.000;0.000;    0;    0;   37;    0;    0;
   13350;02.12.22;15:04:17;14;128;16; --- ;1676;0;0;1263;0;0;0;0;1331;0;0;    0;    0;  946;    0;    0;0.000;0.000;0.051;0.000;0.000;    0;    0;   36;    0;    0;
