
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   11477;02.12.22;14:33:04;Type: LC 
   11478;02.12.22;14:33:05;20180201.par
   11477;02.12.22;14:33:04;1;7;16; --- ;0;Fo: ;0;0;1110;0;0;Fm: ;0;0;1701;0;0
   11477;02.12.22;14:33:04;1;1;16; --- ;0;0;0;1110;0;0;0;0;1701;0;0;    0;    0; 1110;    0;    0;0.000;0.000;0.347;0.000;0.000;    0;    0;    0;    0;    0;
   11538;02.12.22;14:34:05;2;32;16; --- ;5;0;0;1214;0;0;0;0;1759;0;0;    0;    0; 1134;    0;    0;0.000;0.000;0.310;0.000;0.000;    0;    0;    0;    0;    0;
   11598;02.12.22;14:35:05;3;64;16; --- ;10;0;0;1241;0;0;0;0;1792;0;0;    0;    0; 1148;    0;    0;0.000;0.000;0.307;0.000;0.000;    0;    0;    1;    0;    0;
   11658;02.12.22;14:36:05;4;128;16; --- ;21;0;0;1264;0;0;0;0;1851;0;0;    0;    0; 1172;    0;    0;0.000;0.000;0.317;0.000;0.000;    0;    0;    3;    0;    0;
   11718;02.12.22;14:37:05;5;128;16; --- ;93;0;0;1506;0;0;0;0;2114;0;0;    0;    0; 1272;    0;    0;0.000;0.000;0.288;0.000;0.000;    0;    0;   11;    0;    0;
   11778;02.12.22;14:38:05;6;128;16; --- ;119;0;0;1460;0;0;0;0;2021;0;0;    0;    0; 1238;    0;    0;0.000;0.000;0.278;0.000;0.000;    0;    0;   14;    0;    0;
   11838;02.12.22;14:39:05;7;128;16; --- ;178;0;0;1427;0;0;0;0;1896;0;0;    0;    0; 1190;    0;    0;0.000;0.000;0.247;0.000;0.000;    0;    0;   18;    0;    0;
   11898;02.12.22;14:40:05;8;128;16; --- ;261;0;0;1378;0;0;0;0;1742;0;0;    0;    0; 1127;    0;    0;0.000;0.000;0.209;0.000;0.000;    0;    0;   23;    0;    0;
   11958;02.12.22;14:41:05;9;128;16; --- ;463;0;0;1408;0;0;0;0;1690;0;0;    0;    0; 1105;    0;    0;0.000;0.000;0.167;0.000;0.000;    0;    0;   32;    0;    0;
   12018;02.12.22;14:42:05;10;128;16; --- ;753;0;0;1424;0;0;0;0;1625;0;0;    0;    0; 1077;    0;    0;0.000;0.000;0.124;0.000;0.000;    0;    0;   39;    0;    0;
   12078;02.12.22;14:43:05;11;128;16; --- ;1007;0;0;1441;0;0;0;0;1595;0;0;    0;    0; 1064;    0;    0;0.000;0.000;0.097;0.000;0.000;    0;    0;   41;    0;    0;
   12138;02.12.22;14:44:05;12;128;16; --- ;1207;0;0;1413;0;0;0;0;1528;0;0;    0;    0; 1034;    0;    0;0.000;0.000;0.075;0.000;0.000;    0;    0;   38;    0;    0;
   12198;02.12.22;14:45:05;13;128;16; --- ;1413;0;0;1399;0;0;0;0;1495;0;0;    0;    0; 1018;    0;    0;0.000;0.000;0.064;0.000;0.000;    0;    0;   38;    0;    0;
   12258;02.12.22;14:46:05;14;128;16; --- ;1676;0;0;1362;0;0;0;0;1436;0;0;    0;    0;  991;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   36;    0;    0;
