
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   10891;12.07.22;13:11:30;Type: LC 
   10893;12.07.22;13:11:31;20180201.par
   10891;12.07.22;13:11:30;1;7;13; --- ;0;Fo: ;0;0;1175;0;0;Fm: ;0;0;3215;0;0
   10891;12.07.22;13:11:30;1;1;13; --- ;0;0;0;1175;0;0;0;0;3215;0;0;0.000;0.000;0.635;0.000;0.000;    0;    0;    0;    0;    0;
   10952;12.07.22;13:12:31;2;32;13; --- ;5;0;0;1212;0;0;0;0;3168;0;0;0.000;0.000;0.617;0.000;0.000;    0;    0;    1;    0;    0;
   11012;12.07.22;13:13:31;3;64;13; --- ;10;0;0;1198;0;0;0;0;3120;0;0;0.000;0.000;0.616;0.000;0.000;    0;    0;    3;    0;    0;
   11072;12.07.22;13:14:31;4;128;13; --- ;21;0;0;1211;0;0;0;0;3084;0;0;0.000;0.000;0.607;0.000;0.000;    0;    0;    5;    0;    0;
   11132;12.07.22;13:15:31;5;128;13; --- ;33;0;0;1434;0;0;0;0;2913;0;0;0.000;0.000;0.508;0.000;0.000;    0;    0;    7;    0;    0;
   11192;12.07.22;13:16:31;6;128;13; --- ;47;0;0;1491;0;0;0;0;2727;0;0;0.000;0.000;0.453;0.000;0.000;    0;    0;    9;    0;    0;
   11252;12.07.22;13:17:31;7;128;13; --- ;81;0;0;1557;0;0;0;0;2567;0;0;0.000;0.000;0.393;0.000;0.000;    0;    0;   13;    0;    0;
   11312;12.07.22;13:18:31;8;128;13; --- ;127;0;0;1535;0;0;0;0;2394;0;0;0.000;0.000;0.359;0.000;0.000;    0;    0;   19;    0;    0;
   11372;12.07.22;13:19:31;9;128;13; --- ;240;0;0;1512;0;0;0;0;2183;0;0;0.000;0.000;0.307;0.000;0.000;    0;    0;   31;    0;    0;
   11432;12.07.22;13:20:31;10;128;13; --- ;404;0;0;1531;0;0;0;0;2071;0;0;0.000;0.000;0.261;0.000;0.000;    0;    0;   44;    0;    0;
   11492;12.07.22;13:21:31;11;128;13; --- ;553;0;0;1522;0;0;0;0;1976;0;0;0.000;0.000;0.230;0.000;0.000;    0;    0;   53;    0;    0;
   11552;12.07.22;13:22:31;12;128;13; --- ;667;0;0;1500;0;0;0;0;1897;0;0;0.000;0.000;0.209;0.000;0.000;    0;    0;   59;    0;    0;
   11612;12.07.22;13:23:31;13;128;13; --- ;787;0;0;1506;0;0;0;0;1857;0;0;0.000;0.000;0.189;0.000;0.000;    0;    0;   62;    0;    0;
   11672;12.07.22;13:24:31;14;128;13; --- ;934;0;0;1491;0;0;0;0;1789;0;0;0.000;0.000;0.167;0.000;0.000;    0;    0;   65;    0;    0;
