
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
  267038;23.11.21;12:45:47;Type: LC 
  267039;23.11.21;12:45:47;20180201.par
  267038;23.11.21;12:45:47;1;6;14; --- ;0;Fo: ;0;0;899;0;0;Fm: ;0;0;1975;0;0
  267038;23.11.21;12:45:47;1;2;14; --- ;0;0;0;899;0;0;0;0;1975;0;0;0.000;0.000;0.545;0.000;0.000;    0;    0;    0;    0;    0;
  267128;23.11.21;12:47:17;2;32;14; --- ;5;0;0;969;0;0;0;0;2021;0;0;0.000;0.000;0.521;0.000;0.000;    0;    0;    1;    0;    0;
  267218;23.11.21;12:48:47;3;64;14; --- ;10;0;0;964;0;0;0;0;2033;0;0;0.000;0.000;0.526;0.000;0.000;    0;    0;    2;    0;    0;
  267308;23.11.21;12:50:17;4;128;14; --- ;21;0;0;958;0;0;0;0;2077;0;0;0.000;0.000;0.539;0.000;0.000;    0;    0;    5;    0;    0;
  267398;23.11.21;12:51:47;5;128;14; --- ;33;0;0;1000;0;0;0;0;2307;0;0;0.000;0.000;0.567;0.000;0.000;    0;    0;    8;    0;    0;
  267488;23.11.21;12:53:17;6;128;14; --- ;47;0;0;1081;0;0;0;0;2211;0;0;0.000;0.000;0.511;0.000;0.000;    0;    0;   10;    0;    0;
  267578;23.11.21;12:54:47;7;128;14; --- ;127;0;0;1186;0;0;0;0;1816;0;0;0.000;0.000;0.347;0.000;0.000;    0;    0;   19;    0;    0;
  267668;23.11.21;12:56:17;8;128;14; --- ;240;0;0;1141;0;0;0;0;1577;0;0;0.000;0.000;0.276;0.000;0.000;    0;    0;   28;    0;    0;
  267758;23.11.21;12:57:47;9;128;14; --- ;404;0;0;1129;0;0;0;0;1450;0;0;0.000;0.000;0.221;0.000;0.000;    0;    0;   38;    0;    0;
  267848;23.11.21;12:59:17;10;128;14; --- ;553;0;0;1129;0;0;0;0;1385;0;0;0.000;0.000;0.185;0.000;0.000;    0;    0;   43;    0;    0;
  267938;23.11.21;13:00:47;11;128;14; --- ;667;0;0;1126;0;0;0;0;1348;0;0;0.000;0.000;0.165;0.000;0.000;    0;    0;   46;    0;    0;
  268028;23.11.21;13:02:17;12;128;14; --- ;787;0;0;1128;0;0;0;0;1319;0;0;0.000;0.000;0.145;0.000;0.000;    0;    0;   48;    0;    0;
  268118;23.11.21;13:03:47;13;128;14; --- ;934;0;0;1128;0;0;0;0;1287;0;0;0.000;0.000;0.124;0.000;0.000;    0;    0;   48;    0;    0;
