
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   90116;05.07.22;11:52:55;Type: LC 
   90117;05.07.22;11:52:55;20180201.par
   90116;05.07.22;11:52:55;1;7;15; --- ;0;Fo: ;0;0;962;0;0;Fm: ;0;0;1822;0;0
   90116;05.07.22;11:52:55;1;1;15; --- ;0;0;0;962;0;0;0;0;1822;0;0;0.000;0.000;0.472;0.000;0.000;    0;    0;    0;    0;    0;
   90176;05.07.22;11:53:55;2;32;15; --- ;5;0;0;1033;0;0;0;0;1881;0;0;0.000;0.000;0.451;0.000;0.000;    0;    0;    0;    0;    0;
   90236;05.07.22;11:54:55;3;64;15; --- ;10;0;0;1008;0;0;0;0;1882;0;0;0.000;0.000;0.464;0.000;0.000;    0;    0;    2;    0;    0;
   90296;05.07.22;11:55:55;4;128;15; --- ;21;0;0;1019;0;0;0;0;2014;0;0;0.000;0.000;0.494;0.000;0.000;    0;    0;    4;    0;    0;
   90356;05.07.22;11:56:55;5;128;15; --- ;33;0;0;1059;0;0;0;0;2454;0;0;0.000;0.000;0.568;0.000;0.000;    0;    0;    8;    0;    0;
   90416;05.07.22;11:57:55;6;128;15; --- ;47;0;0;1169;0;0;0;0;2422;0;0;0.000;0.000;0.517;0.000;0.000;    0;    0;   10;    0;    0;
   90476;05.07.22;11:58:55;7;128;15; --- ;81;0;0;1299;0;0;0;0;2217;0;0;0.000;0.000;0.414;0.000;0.000;    0;    0;   14;    0;    0;
   90536;05.07.22;11:59:55;8;128;15; --- ;127;0;0;1304;0;0;0;0;2017;0;0;0.000;0.000;0.353;0.000;0.000;    0;    0;   19;    0;    0;
   90596;05.07.22;12:00:55;9;128;15; --- ;240;0;0;1229;0;0;0;0;1728;0;0;0.000;0.000;0.289;0.000;0.000;    0;    0;   29;    0;    0;
   90656;05.07.22;12:01:55;10;128;15; --- ;404;0;0;1194;0;0;0;0;1570;0;0;0.000;0.000;0.239;0.000;0.000;    0;    0;   41;    0;    0;
   90716;05.07.22;12:02:55;11;128;15; --- ;553;0;0;1195;0;0;0;0;1500;0;0;0.000;0.000;0.203;0.000;0.000;    0;    0;   47;    0;    0;
   90776;05.07.22;12:03:55;12;128;15; --- ;667;0;0;1197;0;0;0;0;1461;0;0;0.000;0.000;0.181;0.000;0.000;    0;    0;   51;    0;    0;
   90836;05.07.22;12:04:55;13;128;15; --- ;787;0;0;1164;0;0;0;0;1380;0;0;0.000;0.000;0.157;0.000;0.000;    0;    0;   52;    0;    0;
   90896;05.07.22;12:05:55;14;128;15; --- ;934;0;0;1156;0;0;0;0;1335;0;0;0.000;0.000;0.134;0.000;0.000;    0;    0;   53;    0;    0;
