
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878461437;24.11.22;14:23:57;Type: LC 
3878461438;24.11.22;14:23:57;20180201.par
3878461437;24.11.22;14:23:57;1;7;16; --- ;0;Fo: ;0;0;866;0;0;Fm: ;0;0;1277;0;0
3878461437;24.11.22;14:23:57;1;1;16; --- ;0;0;0;866;0;0;0;0;1277;0;0;    0;    0;  866;    0;    0;0.000;0.000;0.322;0.000;0.000;    0;    0;    0;    0;    0;
3878461497;24.11.22;14:24:57;2;32;16; --- ;5;0;0;866;0;0;0;0;1187;0;0;    0;    0;  824;    0;    0;0.000;0.000;0.270;0.000;0.000;    0;    0;    0;    0;    0;
3878461557;24.11.22;14:25:57;3;64;16; --- ;10;0;0;873;0;0;0;0;1192;0;0;    0;    0;  826;    0;    0;0.000;0.000;0.268;0.000;0.000;    0;    0;    1;    0;    0;
3878461617;24.11.22;14:26:57;4;128;16; --- ;21;0;0;829;0;0;0;0;1110;0;0;    0;    0;  786;    0;    0;0.000;0.000;0.253;0.000;0.000;    0;    0;    2;    0;    0;
3878461677;24.11.22;14:27:57;5;128;16; --- ;93;0;0;881;0;0;0;0;1220;0;0;    0;    0;  839;    0;    0;0.000;0.000;0.278;0.000;0.000;    0;    0;   11;    0;    0;
3878461737;24.11.22;14:28:57;6;128;16; --- ;119;0;0;839;0;0;0;0;1123;0;0;    0;    0;  792;    0;    0;0.000;0.000;0.253;0.000;0.000;    0;    0;   13;    0;    0;
3878461797;24.11.22;14:29:57;7;128;16; --- ;178;0;0;836;0;0;0;0;1084;0;0;    0;    0;  773;    0;    0;0.000;0.000;0.229;0.000;0.000;    0;    0;   17;    0;    0;
3878461857;24.11.22;14:30:57;8;128;16; --- ;261;0;0;812;0;0;0;0;1006;0;0;    0;    0;  732;    0;    0;0.000;0.000;0.193;0.000;0.000;    0;    0;   21;    0;    0;
3878461917;24.11.22;14:31:57;9;128;16; --- ;463;0;0;765;0;0;0;0;884;0;0;    0;    0;  665;    0;    0;0.000;0.000;0.135;0.000;0.000;    0;    0;   26;    0;    0;
3878461977;24.11.22;14:32:57;10;128;16; --- ;753;0;0;752;0;0;0;0;828;0;0;    0;    0;  633;    0;    0;0.000;0.000;0.092;0.000;0.000;    0;    0;   29;    0;    0;
3878462037;24.11.22;14:33:57;11;128;16; --- ;1007;0;0;747;0;0;0;0;802;0;0;    0;    0;  618;    0;    0;0.000;0.000;0.069;0.000;0.000;    0;    0;   29;    0;    0;
3878462097;24.11.22;14:34:57;12;128;16; --- ;1207;0;0;747;0;0;0;0;794;0;0;    0;    0;  613;    0;    0;0.000;0.000;0.059;0.000;0.000;    0;    0;   30;    0;    0;
3878462157;24.11.22;14:35:57;13;128;16; --- ;1413;0;0;742;0;0;0;0;779;0;0;    0;    0;  604;    0;    0;0.000;0.000;0.047;0.000;0.000;    0;    0;   28;    0;    0;
3878462217;24.11.22;14:36:57;14;128;16; --- ;1676;0;0;744;0;0;0;0;775;0;0;    0;    0;  602;    0;    0;0.000;0.000;0.040;0.000;0.000;    0;    0;   28;    0;    0;
