
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    1333;12.07.22;10:32:12;Type: LC 
    1334;12.07.22;10:32:12;20180201.par
    1333;12.07.22;10:32:12;1;7;14; --- ;0;Fo: ;0;0;1149;0;0;Fm: ;0;0;3142;0;0
    1333;12.07.22;10:32:12;1;1;14; --- ;0;0;0;1149;0;0;0;0;3142;0;0;0.000;0.000;0.634;0.000;0.000;    0;    0;    0;    0;    0;
    1393;12.07.22;10:33:12;2;32;14; --- ;5;0;0;1211;0;0;0;0;2582;0;0;0.000;0.000;0.531;0.000;0.000;    0;    0;    1;    0;    0;
    1453;12.07.22;10:34:12;3;64;14; --- ;10;0;0;1222;0;0;0;0;2625;0;0;0.000;0.000;0.534;0.000;0.000;    0;    0;    2;    0;    0;
    1513;12.07.22;10:35:12;4;128;14; --- ;21;0;0;1236;0;0;0;0;2768;0;0;0.000;0.000;0.553;0.000;0.000;    0;    0;    5;    0;    0;
    1573;12.07.22;10:36:12;5;128;14; --- ;33;0;0;1302;0;0;0;0;3115;0;0;0.000;0.000;0.582;0.000;0.000;    0;    0;    8;    0;    0;
    1633;12.07.22;10:37:12;6;128;14; --- ;47;0;0;1409;0;0;0;0;2919;0;0;0.000;0.000;0.517;0.000;0.000;    0;    0;   10;    0;    0;
    1693;12.07.22;10:38:12;7;128;14; --- ;81;0;0;1549;0;0;0;0;2730;0;0;0.000;0.000;0.433;0.000;0.000;    0;    0;   15;    0;    0;
    1753;12.07.22;10:39:12;8;128;14; --- ;127;0;0;1598;0;0;0;0;2567;0;0;0.000;0.000;0.377;0.000;0.000;    0;    0;   20;    0;    0;
    1813;12.07.22;10:40:12;9;128;14; --- ;240;0;0;1620;0;0;0;0;2336;0;0;0.000;0.000;0.307;0.000;0.000;    0;    0;   31;    0;    0;
    1873;12.07.22;10:41:12;10;128;14; --- ;404;0;0;1609;0;0;0;0;2145;0;0;0.000;0.000;0.250;0.000;0.000;    0;    0;   42;    0;    0;
    1933;12.07.22;10:42:12;11;128;14; --- ;553;0;0;1564;0;0;0;0;1996;0;0;0.000;0.000;0.216;0.000;0.000;    0;    0;   50;    0;    0;
    1993;12.07.22;10:43:12;12;128;14; --- ;667;0;0;1550;0;0;0;0;1911;0;0;0.000;0.000;0.189;0.000;0.000;    0;    0;   53;    0;    0;
    2053;12.07.22;10:44:12;13;128;14; --- ;787;0;0;1539;0;0;0;0;1844;0;0;0.000;0.000;0.165;0.000;0.000;    0;    0;   55;    0;    0;
    2113;12.07.22;10:45:12;14;128;14; --- ;934;0;0;1547;0;0;0;0;1803;0;0;0.000;0.000;0.142;0.000;0.000;    0;    0;   56;    0;    0;
