
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    6692;12.07.22;12:01:31;Type: LC 
    6693;12.07.22;12:01:31;20180201.par
    6692;12.07.22;12:01:31;1;7;12; --- ;0;Fo: ;0;0;1088;0;0;Fm: ;0;0;3317;0;0
    6692;12.07.22;12:01:31;1;1;12; --- ;0;0;0;1088;0;0;0;0;3317;0;0;0.000;0.000;0.672;0.000;0.000;    0;    0;    0;    0;    0;
    6752;12.07.22;12:02:31;2;32;12; --- ;5;0;0;1149;0;0;0;0;3314;0;0;0.000;0.000;0.653;0.000;0.000;    0;    0;    1;    0;    0;
    6812;12.07.22;12:03:31;3;64;12; --- ;10;0;0;1163;0;0;0;0;3333;0;0;0.000;0.000;0.651;0.000;0.000;    0;    0;    3;    0;    0;
    6872;12.07.22;12:04:31;4;128;12; --- ;21;0;0;1175;0;0;0;0;3257;0;0;0.000;0.000;0.639;0.000;0.000;    0;    0;    6;    0;    0;
    6932;12.07.22;12:05:31;5;128;12; --- ;33;0;0;1434;0;0;0;0;3155;0;0;0.000;0.000;0.545;0.000;0.000;    0;    0;    8;    0;    0;
    6992;12.07.22;12:06:31;6;128;12; --- ;47;0;0;1483;0;0;0;0;2919;0;0;0.000;0.000;0.492;0.000;0.000;    0;    0;   10;    0;    0;
    7052;12.07.22;12:07:31;7;128;12; --- ;81;0;0;1563;0;0;0;0;2739;0;0;0.000;0.000;0.429;0.000;0.000;    0;    0;   15;    0;    0;
    7112;12.07.22;12:08:31;8;128;12; --- ;127;0;0;1579;0;0;0;0;2590;0;0;0.000;0.000;0.390;0.000;0.000;    0;    0;   21;    0;    0;
    7172;12.07.22;12:09:31;9;128;12; --- ;240;0;0;1566;0;0;0;0;2351;0;0;0.000;0.000;0.334;0.000;0.000;    0;    0;   34;    0;    0;
    7232;12.07.22;12:10:31;10;128;12; --- ;404;0;0;1577;0;0;0;0;2208;0;0;0.000;0.000;0.286;0.000;0.000;    0;    0;   48;    0;    0;
    7292;12.07.22;12:11:31;11;128;12; --- ;553;0;0;1590;0;0;0;0;2120;0;0;0.000;0.000;0.250;0.000;0.000;    0;    0;   58;    0;    0;
    7352;12.07.22;12:12:31;12;128;12; --- ;667;0;0;1592;0;0;0;0;2059;0;0;0.000;0.000;0.227;0.000;0.000;    0;    0;   64;    0;    0;
    7412;12.07.22;12:13:31;13;128;12; --- ;787;0;0;1602;0;0;0;0;2008;0;0;0.000;0.000;0.202;0.000;0.000;    0;    0;   67;    0;    0;
    7472;12.07.22;12:14:31;14;128;12; --- ;934;0;0;1605;0;0;0;0;1948;0;0;0.000;0.000;0.176;0.000;0.000;    0;    0;   69;    0;    0;
