
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878456905;24.11.22;13:08:25;Type: LC 
3878456907;24.11.22;13:08:26;20180201.par
3878456905;24.11.22;13:08:25;1;7;17; --- ;0;Fo: ;0;0;1244;0;0;Fm: ;0;0;1786;0;0
3878456905;24.11.22;13:08:25;1;1;17; --- ;0;0;0;1244;0;0;0;0;1786;0;0;    0;    0; 1244;    0;    0;0.000;0.000;0.303;0.000;0.000;    0;    0;    0;    0;    0;
3878456966;24.11.22;13:09:26;2;32;17; --- ;5;0;0;1268;0;0;0;0;1697;0;0;    0;    0; 1200;    0;    0;0.000;0.000;0.253;0.000;0.000;    0;    0;    0;    0;    0;
3878457026;24.11.22;13:10:26;3;64;17; --- ;10;0;0;1264;0;0;0;0;1681;0;0;    0;    0; 1192;    0;    0;0.000;0.000;0.248;0.000;0.000;    0;    0;    1;    0;    0;
3878457086;24.11.22;13:11:26;4;128;17; --- ;21;0;0;1250;0;0;0;0;1645;0;0;    0;    0; 1174;    0;    0;0.000;0.000;0.240;0.000;0.000;    0;    0;    2;    0;    0;
3878457146;24.11.22;13:12:26;5;128;17; --- ;93;0;0;1305;0;0;0;0;1751;0;0;    0;    0; 1227;    0;    0;0.000;0.000;0.255;0.000;0.000;    0;    0;   10;    0;    0;
3878457206;24.11.22;13:13:26;6;128;17; --- ;119;0;0;1270;0;0;0;0;1660;0;0;    0;    0; 1182;    0;    0;0.000;0.000;0.235;0.000;0.000;    0;    0;   12;    0;    0;
3878457266;24.11.22;13:14:26;7;128;17; --- ;178;0;0;1252;0;0;0;0;1588;0;0;    0;    0; 1145;    0;    0;0.000;0.000;0.212;0.000;0.000;    0;    0;   16;    0;    0;
3878457326;24.11.22;13:15:26;8;128;17; --- ;261;0;0;1232;0;0;0;0;1512;0;0;    0;    0; 1105;    0;    0;0.000;0.000;0.185;0.000;0.000;    0;    0;   20;    0;    0;
3878457386;24.11.22;13:16:26;9;128;17; --- ;463;0;0;1180;0;0;0;0;1358;0;0;    0;    0; 1020;    0;    0;0.000;0.000;0.131;0.000;0.000;    0;    0;   25;    0;    0;
3878457446;24.11.22;13:17:26;10;128;17; --- ;753;0;0;1149;0;0;0;0;1259;0;0;    0;    0;  963;    0;    0;0.000;0.000;0.087;0.000;0.000;    0;    0;   28;    0;    0;
3878457506;24.11.22;13:18:26;11;128;17; --- ;1007;0;0;1140;0;0;0;0;1219;0;0;    0;    0;  940;    0;    0;0.000;0.000;0.065;0.000;0.000;    0;    0;   27;    0;    0;
3878457566;24.11.22;13:19:26;12;128;17; --- ;1207;0;0;1143;0;0;0;0;1206;0;0;    0;    0;  932;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   26;    0;    0;
3878457626;24.11.22;13:20:26;13;128;17; --- ;1413;0;0;1133;0;0;0;0;1185;0;0;    0;    0;  919;    0;    0;0.000;0.000;0.044;0.000;0.000;    0;    0;   26;    0;    0;
3878457686;24.11.22;13:21:26;14;128;17; --- ;1676;0;0;1129;0;0;0;0;1171;0;0;    0;    0;  911;    0;    0;0.000;0.000;0.036;0.000;0.000;    0;    0;   25;    0;    0;
