
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   12114;12.07.22;13:31:53;Type: LC 
   12115;12.07.22;13:31:54;20180201.par
   12114;12.07.22;13:31:53;1;7;12; --- ;0;Fo: ;0;0;857;0;0;Fm: ;0;0;2233;0;0
   12114;12.07.22;13:31:53;1;1;12; --- ;0;0;0;857;0;0;0;0;2233;0;0;0.000;0.000;0.616;0.000;0.000;    0;    0;    0;    0;    0;
   12175;12.07.22;13:32:54;2;32;12; --- ;5;0;0;888;0;0;0;0;2221;0;0;0.000;0.000;0.600;0.000;0.000;    0;    0;    1;    0;    0;
   12235;12.07.22;13:33:54;3;64;12; --- ;10;0;0;870;0;0;0;0;2169;0;0;0.000;0.000;0.599;0.000;0.000;    0;    0;    3;    0;    0;
   12295;12.07.22;13:34:54;4;128;12; --- ;21;0;0;857;0;0;0;0;2099;0;0;0.000;0.000;0.592;0.000;0.000;    0;    0;    5;    0;    0;
   12355;12.07.22;13:35:54;5;128;12; --- ;33;0;0;949;0;0;0;0;1947;0;0;0.000;0.000;0.513;0.000;0.000;    0;    0;    7;    0;    0;
   12415;12.07.22;13:36:54;6;128;12; --- ;47;0;0;980;0;0;0;0;1846;0;0;0.000;0.000;0.469;0.000;0.000;    0;    0;    9;    0;    0;
   12475;12.07.22;13:37:54;7;128;12; --- ;81;0;0;1006;0;0;0;0;1738;0;0;0.000;0.000;0.421;0.000;0.000;    0;    0;   14;    0;    0;
   12535;12.07.22;13:38:54;8;128;12; --- ;127;0;0;1003;0;0;0;0;1635;0;0;0.000;0.000;0.387;0.000;0.000;    0;    0;   21;    0;    0;
   12595;12.07.22;13:39:54;9;128;12; --- ;240;0;0;1043;0;0;0;0;1534;0;0;0.000;0.000;0.320;0.000;0.000;    0;    0;   32;    0;    0;
   12655;12.07.22;13:40:54;10;128;12; --- ;404;0;0;1066;0;0;0;0;1450;0;0;0.000;0.000;0.265;0.000;0.000;    0;    0;   45;    0;    0;
   12715;12.07.22;13:41:54;11;128;12; --- ;553;0;0;1057;0;0;0;0;1376;0;0;0.000;0.000;0.232;0.000;0.000;    0;    0;   54;    0;    0;
   12775;12.07.22;13:42:54;12;128;12; --- ;667;0;0;1042;0;0;0;0;1322;0;0;0.000;0.000;0.212;0.000;0.000;    0;    0;   59;    0;    0;
   12835;12.07.22;13:43:54;13;128;12; --- ;787;0;0;1031;0;0;0;0;1270;0;0;0.000;0.000;0.188;0.000;0.000;    0;    0;   62;    0;    0;
   12895;12.07.22;13:44:54;14;128;12; --- ;934;0;0;1015;0;0;0;0;1210;0;0;0.000;0.000;0.161;0.000;0.000;    0;    0;   63;    0;    0;
