
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878460276;24.11.22;14:04:36;Type: LC 
3878460277;24.11.22;14:04:36;20180201.par
3878460276;24.11.22;14:04:36;1;7;17; --- ;0;Fo: ;0;0;1284;0;0;Fm: ;0;0;1868;0;0
3878460276;24.11.22;14:04:36;1;1;17; --- ;0;0;0;1284;0;0;0;0;1868;0;0;    0;    0; 1284;    0;    0;0.000;0.000;0.313;0.000;0.000;    0;    0;    0;    0;    0;
3878460336;24.11.22;14:05:36;2;32;17; --- ;5;0;0;1316;0;0;0;0;1817;0;0;    0;    0; 1260;    0;    0;0.000;0.000;0.276;0.000;0.000;    0;    0;    0;    0;    0;
3878460396;24.11.22;14:06:36;3;64;17; --- ;10;0;0;1313;0;0;0;0;1797;0;0;    0;    0; 1250;    0;    0;0.000;0.000;0.269;0.000;0.000;    0;    0;    1;    0;    0;
3878460456;24.11.22;14:07:36;4;128;17; --- ;21;0;0;1293;0;0;0;0;1751;0;0;    0;    0; 1228;    0;    0;0.000;0.000;0.262;0.000;0.000;    0;    0;    2;    0;    0;
3878460516;24.11.22;14:08:36;5;128;17; --- ;93;0;0;1375;0;0;0;0;1926;0;0;    0;    0; 1311;    0;    0;0.000;0.000;0.286;0.000;0.000;    0;    0;   11;    0;    0;
3878460576;24.11.22;14:09:36;6;128;17; --- ;119;0;0;1320;0;0;0;0;1794;0;0;    0;    0; 1249;    0;    0;0.000;0.000;0.264;0.000;0.000;    0;    0;   13;    0;    0;
3878460636;24.11.22;14:10:36;7;128;17; --- ;178;0;0;1305;0;0;0;0;1700;0;0;    0;    0; 1202;    0;    0;0.000;0.000;0.232;0.000;0.000;    0;    0;   17;    0;    0;
3878460696;24.11.22;14:11:36;8;128;17; --- ;261;0;0;1275;0;0;0;0;1596;0;0;    0;    0; 1149;    0;    0;0.000;0.000;0.201;0.000;0.000;    0;    0;   22;    0;    0;
3878460756;24.11.22;14:12:36;9;128;17; --- ;463;0;0;1227;0;0;0;0;1445;0;0;    0;    0; 1069;    0;    0;0.000;0.000;0.151;0.000;0.000;    0;    0;   29;    0;    0;
3878460816;24.11.22;14:13:36;10;128;17; --- ;753;0;0;1184;0;0;0;0;1322;0;0;    0;    0; 1000;    0;    0;0.000;0.000;0.104;0.000;0.000;    0;    0;   33;    0;    0;
3878460876;24.11.22;14:14:36;11;128;17; --- ;1007;0;0;1181;0;0;0;0;1285;0;0;    0;    0;  979;    0;    0;0.000;0.000;0.081;0.000;0.000;    0;    0;   34;    0;    0;
3878460936;24.11.22;14:15:36;12;128;17; --- ;1207;0;0;1170;0;0;0;0;1254;0;0;    0;    0;  961;    0;    0;0.000;0.000;0.067;0.000;0.000;    0;    0;   34;    0;    0;
3878460996;24.11.22;14:16:36;13;128;17; --- ;1413;0;0;1155;0;0;0;0;1224;0;0;    0;    0;  943;    0;    0;0.000;0.000;0.056;0.000;0.000;    0;    0;   33;    0;    0;
3878461056;24.11.22;14:17:36;14;128;17; --- ;1676;0;0;1150;0;0;0;0;1207;0;0;    0;    0;  933;    0;    0;0.000;0.000;0.047;0.000;0.000;    0;    0;   33;    0;    0;
