
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   91300;05.07.22;12:12:39;Type: LC 
   91302;05.07.22;12:12:40;20180201.par
   91300;05.07.22;12:12:39;1;7;15; --- ;0;Fo: ;0;0;921;0;0;Fm: ;0;0;1719;0;0
   91300;05.07.22;12:12:39;1;1;15; --- ;0;0;0;921;0;0;0;0;1719;0;0;0.000;0.000;0.464;0.000;0.000;    0;    0;    0;    0;    0;
   91361;05.07.22;12:13:40;2;32;15; --- ;5;0;0;985;0;0;0;0;1774;0;0;0.000;0.000;0.445;0.000;0.000;    0;    0;    0;    0;    0;
   91421;05.07.22;12:14:40;3;64;15; --- ;10;0;0;943;0;0;0;0;1715;0;0;0.000;0.000;0.450;0.000;0.000;    0;    0;    2;    0;    0;
   91481;05.07.22;12:15:40;4;128;15; --- ;21;0;0;952;0;0;0;0;1811;0;0;0.000;0.000;0.474;0.000;0.000;    0;    0;    4;    0;    0;
   91541;05.07.22;12:16:40;5;128;15; --- ;33;0;0;974;0;0;0;0;2141;0;0;0.000;0.000;0.545;0.000;0.000;    0;    0;    8;    0;    0;
   91601;05.07.22;12:17:40;6;128;15; --- ;47;0;0;1079;0;0;0;0;2161;0;0;0.000;0.000;0.501;0.000;0.000;    0;    0;   10;    0;    0;
   91661;05.07.22;12:18:40;7;128;15; --- ;81;0;0;1190;0;0;0;0;1977;0;0;0.000;0.000;0.398;0.000;0.000;    0;    0;   14;    0;    0;
   91721;05.07.22;12:19:40;8;128;15; --- ;127;0;0;1173;0;0;0;0;1773;0;0;0.000;0.000;0.338;0.000;0.000;    0;    0;   18;    0;    0;
   91781;05.07.22;12:20:40;9;128;15; --- ;240;0;0;1119;0;0;0;0;1543;0;0;0.000;0.000;0.275;0.000;0.000;    0;    0;   28;    0;    0;
   91841;05.07.22;12:21:40;10;128;15; --- ;404;0;0;1084;0;0;0;0;1397;0;0;0.000;0.000;0.224;0.000;0.000;    0;    0;   38;    0;    0;
   91901;05.07.22;12:22:40;11;128;15; --- ;553;0;0;1065;0;0;0;0;1320;0;0;0.000;0.000;0.193;0.000;0.000;    0;    0;   45;    0;    0;
   91961;05.07.22;12:23:40;12;128;15; --- ;667;0;0;1062;0;0;0;0;1280;0;0;0.000;0.000;0.170;0.000;0.000;    0;    0;   48;    0;    0;
   92021;05.07.22;12:24:40;13;128;15; --- ;787;0;0;1053;0;0;0;0;1239;0;0;0.000;0.000;0.150;0.000;0.000;    0;    0;   50;    0;    0;
   92081;05.07.22;12:25:40;14;128;15; --- ;934;0;0;1052;0;0;0;0;1206;0;0;0.000;0.000;0.128;0.000;0.000;    0;    0;   50;    0;    0;
