
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    3619;02.12.22;12:22:06;Type: LC 
    3620;02.12.22;12:22:07;20180201.par
    3619;02.12.22;12:22:06;1;7;17; --- ;0;Fo: ;0;0;1081;0;0;Fm: ;0;0;1366;0;0
    3619;02.12.22;12:22:06;1;1;17; --- ;0;0;0;1081;0;0;0;0;1366;0;0;    0;    0; 1081;    0;    0;0.000;0.000;0.209;0.000;0.000;    0;    0;    0;    0;    0;
    3680;02.12.22;12:23:07;2;32;17; --- ;5;0;0;1119;0;0;0;0;1371;0;0;    0;    0; 1084;    0;    0;0.000;0.000;0.184;0.000;0.000;    0;    0;    0;    0;    0;
    3740;02.12.22;12:24:07;3;64;17; --- ;10;0;0;1127;0;0;0;0;1366;0;0;    0;    0; 1081;    0;    0;0.000;0.000;0.175;0.000;0.000;    0;    0;    0;    0;    0;
    3800;02.12.22;12:25:07;4;128;17; --- ;21;0;0;1139;0;0;0;0;1383;0;0;    0;    0; 1092;    0;    0;0.000;0.000;0.176;0.000;0.000;    0;    0;    2;    0;    0;
    3860;02.12.22;12:26:07;5;128;17; --- ;93;0;0;1285;0;0;0;0;1528;0;0;    0;    0; 1180;    0;    0;0.000;0.000;0.159;0.000;0.000;    0;    0;    6;    0;    0;
    3920;02.12.22;12:27:07;6;128;17; --- ;119;0;0;1224;0;0;0;0;1426;0;0;    0;    0; 1118;    0;    0;0.000;0.000;0.142;0.000;0.000;    0;    0;    7;    0;    0;
    3980;02.12.22;12:28:07;7;128;17; --- ;178;0;0;1216;0;0;0;0;1395;0;0;    0;    0; 1099;    0;    0;0.000;0.000;0.128;0.000;0.000;    0;    0;   10;    0;    0;
    4040;02.12.22;12:29:07;8;128;17; --- ;261;0;0;1190;0;0;0;0;1340;0;0;    0;    0; 1065;    0;    0;0.000;0.000;0.112;0.000;0.000;    0;    0;   12;    0;    0;
    4100;02.12.22;12:30:07;9;128;17; --- ;463;0;0;1143;0;0;0;0;1242;0;0;    0;    0; 1002;    0;    0;0.000;0.000;0.080;0.000;0.000;    0;    0;   16;    0;    0;
    4160;02.12.22;12:31:07;10;128;17; --- ;753;0;0;1127;0;0;0;0;1195;0;0;    0;    0;  971;    0;    0;0.000;0.000;0.057;0.000;0.000;    0;    0;   18;    0;    0;
    4220;02.12.22;12:32:07;11;128;17; --- ;1007;0;0;1107;0;0;0;0;1157;0;0;    0;    0;  946;    0;    0;0.000;0.000;0.043;0.000;0.000;    0;    0;   18;    0;    0;
    4280;02.12.22;12:33:07;12;128;17; --- ;1207;0;0;1101;0;0;0;0;1140;0;0;    0;    0;  934;    0;    0;0.000;0.000;0.034;0.000;0.000;    0;    0;   17;    0;    0;
    4340;02.12.22;12:34:07;13;128;17; --- ;1413;0;0;1098;0;0;0;0;1133;0;0;    0;    0;  930;    0;    0;0.000;0.000;0.031;0.000;0.000;    0;    0;   18;    0;    0;
    4400;02.12.22;12:35:07;14;128;17; --- ;1676;0;0;1075;0;0;0;0;1097;0;0;    0;    0;  905;    0;    0;0.000;0.000;0.020;0.000;0.000;    0;    0;   14;    0;    0;
