
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    2714;02.12.22;12:07:01;Type: LC 
    2715;02.12.22;12:07:02;20180201.par
    2714;02.12.22;12:07:01;1;7;17; --- ;0;Fo: ;0;0;1028;0;0;Fm: ;0;0;1259;0;0
    2714;02.12.22;12:07:01;1;1;17; --- ;0;0;0;1028;0;0;0;0;1259;0;0;    0;    0; 1028;    0;    0;0.000;0.000;0.183;0.000;0.000;    0;    0;    0;    0;    0;
    2775;02.12.22;12:08:02;2;32;17; --- ;5;0;0;1054;0;0;0;0;1259;0;0;    0;    0; 1028;    0;    0;0.000;0.000;0.163;0.000;0.000;    0;    0;    0;    0;    0;
    2835;02.12.22;12:09:02;3;64;17; --- ;10;0;0;1068;0;0;0;0;1268;0;0;    0;    0; 1034;    0;    0;0.000;0.000;0.158;0.000;0.000;    0;    0;    0;    0;    0;
    2895;02.12.22;12:10:02;4;128;17; --- ;21;0;0;1081;0;0;0;0;1286;0;0;    0;    0; 1046;    0;    0;0.000;0.000;0.159;0.000;0.000;    0;    0;    1;    0;    0;
    2955;02.12.22;12:11:02;5;128;17; --- ;93;0;0;1198;0;0;0;0;1411;0;0;    0;    0; 1127;    0;    0;0.000;0.000;0.151;0.000;0.000;    0;    0;    6;    0;    0;
    3015;02.12.22;12:12:02;6;128;17; --- ;119;0;0;1188;0;0;0;0;1381;0;0;    0;    0; 1108;    0;    0;0.000;0.000;0.140;0.000;0.000;    0;    0;    7;    0;    0;
    3075;02.12.22;12:13:02;7;128;17; --- ;178;0;0;1148;0;0;0;0;1305;0;0;    0;    0; 1058;    0;    0;0.000;0.000;0.120;0.000;0.000;    0;    0;    9;    0;    0;
    3135;02.12.22;12:14:02;8;128;17; --- ;261;0;0;1116;0;0;0;0;1238;0;0;    0;    0; 1014;    0;    0;0.000;0.000;0.099;0.000;0.000;    0;    0;   11;    0;    0;
    3195;02.12.22;12:15:02;9;128;17; --- ;463;0;0;1088;0;0;0;0;1171;0;0;    0;    0;  969;    0;    0;0.000;0.000;0.071;0.000;0.000;    0;    0;   14;    0;    0;
    3255;02.12.22;12:16:02;10;128;17; --- ;753;0;0;1062;0;0;0;0;1115;0;0;    0;    0;  930;    0;    0;0.000;0.000;0.048;0.000;0.000;    0;    0;   15;    0;    0;
    3315;02.12.22;12:17:02;11;128;17; --- ;1007;0;0;1045;0;0;0;0;1084;0;0;    0;    0;  908;    0;    0;0.000;0.000;0.036;0.000;0.000;    0;    0;   15;    0;    0;
    3375;02.12.22;12:18:02;12;128;17; --- ;1207;0;0;1046;0;0;0;0;1076;0;0;    0;    0;  903;    0;    0;0.000;0.000;0.028;0.000;0.000;    0;    0;   14;    0;    0;
    3435;02.12.22;12:19:02;13;128;17; --- ;1413;0;0;1027;0;0;0;0;1051;0;0;    0;    0;  885;    0;    0;0.000;0.000;0.023;0.000;0.000;    0;    0;   14;    0;    0;
    3495;02.12.22;12:20:02;14;128;17; --- ;1676;0;0;1031;0;0;0;0;1050;0;0;    0;    0;  884;    0;    0;0.000;0.000;0.018;0.000;0.000;    0;    0;   13;    0;    0;
