
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    2251;12.07.22;10:47:30;Type: LC 
    2252;12.07.22;10:47:31;20180201.par
    2251;12.07.22;10:47:30;1;7;14; --- ;0;Fo: ;0;0;905;0;0;Fm: ;0;0;1999;0;0
    2251;12.07.22;10:47:30;1;1;14; --- ;0;0;0;905;0;0;0;0;1999;0;0;0.000;0.000;0.547;0.000;0.000;    0;    0;    0;    0;    0;
    2312;12.07.22;10:48:31;2;32;14; --- ;5;0;0;965;0;0;0;0;2146;0;0;0.000;0.000;0.550;0.000;0.000;    0;    0;    1;    0;    0;
    2372;12.07.22;10:49:31;3;64;14; --- ;10;0;0;966;0;0;0;0;2199;0;0;0.000;0.000;0.561;0.000;0.000;    0;    0;    2;    0;    0;
    2432;12.07.22;10:50:31;4;128;14; --- ;21;0;0;965;0;0;0;0;2276;0;0;0.000;0.000;0.576;0.000;0.000;    0;    0;    5;    0;    0;
    2492;12.07.22;10:51:31;5;128;14; --- ;33;0;0;1064;0;0;0;0;2320;0;0;0.000;0.000;0.541;0.000;0.000;    0;    0;    8;    0;    0;
    2552;12.07.22;10:52:31;6;128;14; --- ;47;0;0;1122;0;0;0;0;2143;0;0;0.000;0.000;0.476;0.000;0.000;    0;    0;    9;    0;    0;
    2612;12.07.22;10:53:31;7;128;14; --- ;81;0;0;1220;0;0;0;0;2018;0;0;0.000;0.000;0.395;0.000;0.000;    0;    0;   13;    0;    0;
    2672;12.07.22;10:54:31;8;128;14; --- ;127;0;0;1213;0;0;0;0;1842;0;0;0.000;0.000;0.341;0.000;0.000;    0;    0;   18;    0;    0;
    2732;12.07.22;10:55:31;9;128;14; --- ;240;0;0;1207;0;0;0;0;1668;0;0;0.000;0.000;0.276;0.000;0.000;    0;    0;   28;    0;    0;
    2792;12.07.22;10:56:31;10;128;14; --- ;404;0;0;1189;0;0;0;0;1539;0;0;0.000;0.000;0.227;0.000;0.000;    0;    0;   39;    0;    0;
    2852;12.07.22;10:57:31;11;128;14; --- ;553;0;0;1182;0;0;0;0;1465;0;0;0.000;0.000;0.193;0.000;0.000;    0;    0;   45;    0;    0;
    2912;12.07.22;10:58:31;12;128;14; --- ;667;0;0;1163;0;0;0;0;1412;0;0;0.000;0.000;0.176;0.000;0.000;    0;    0;   49;    0;    0;
    2972;12.07.22;10:59:31;13;128;14; --- ;787;0;0;1152;0;0;0;0;1363;0;0;0.000;0.000;0.155;0.000;0.000;    0;    0;   51;    0;    0;
    3032;12.07.22;11:00:31;14;128;14; --- ;934;0;0;1138;0;0;0;0;1319;0;0;0.000;0.000;0.137;0.000;0.000;    0;    0;   54;    0;    0;
