
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    9264;02.12.22;13:56:11;Type: LC 
    9265;02.12.22;13:56:11;20180201.par
    9264;02.12.22;13:56:11;1;7;16; --- ;0;Fo: ;0;0;1263;0;0;Fm: ;0;0;2119;0;0
    9264;02.12.22;13:56:11;1;1;16; --- ;0;0;0;1263;0;0;0;0;2119;0;0;    0;    0; 1263;    0;    0;0.000;0.000;0.404;0.000;0.000;    0;    0;    0;    0;    0;
    9324;02.12.22;13:57:11;2;32;16; --- ;5;0;0;1308;0;0;0;0;2068;0;0;    0;    0; 1245;    0;    0;0.000;0.000;0.368;0.000;0.000;    0;    0;    0;    0;    0;
    9384;02.12.22;13:58:11;3;64;16; --- ;10;0;0;1268;0;0;0;0;1992;0;0;    0;    0; 1217;    0;    0;0.000;0.000;0.363;0.000;0.000;    0;    0;    2;    0;    0;
    9444;02.12.22;13:59:11;4;128;16; --- ;21;0;0;1269;0;0;0;0;2023;0;0;    0;    0; 1228;    0;    0;0.000;0.000;0.373;0.000;0.000;    0;    0;    3;    0;    0;
    9505;02.12.22;14:00:12;5;128;16; --- ;93;0;0;1511;0;0;0;0;2247;0;0;    0;    0; 1307;    0;    0;0.000;0.000;0.328;0.000;0.000;    0;    0;   13;    0;    0;
    9564;02.12.22;14:01:11;6;128;16; --- ;119;0;0;1453;0;0;0;0;2135;0;0;    0;    0; 1269;    0;    0;0.000;0.000;0.319;0.000;0.000;    0;    0;   16;    0;    0;
    9624;02.12.22;14:02:11;7;128;16; --- ;178;0;0;1451;0;0;0;0;2027;0;0;    0;    0; 1230;    0;    0;0.000;0.000;0.284;0.000;0.000;    0;    0;   21;    0;    0;
    9684;02.12.22;14:03:11;8;128;16; --- ;261;0;0;1473;0;0;0;0;1950;0;0;    0;    0; 1201;    0;    0;0.000;0.000;0.245;0.000;0.000;    0;    0;   27;    0;    0;
    9744;02.12.22;14:04:11;9;128;16; --- ;463;0;0;1470;0;0;0;0;1823;0;0;    0;    0; 1152;    0;    0;0.000;0.000;0.194;0.000;0.000;    0;    0;   38;    0;    0;
    9804;02.12.22;14:05:11;10;128;16; --- ;753;0;0;1534;0;0;0;0;1779;0;0;    0;    0; 1134;    0;    0;0.000;0.000;0.138;0.000;0.000;    0;    0;   44;    0;    0;
    9864;02.12.22;14:06:11;11;128;16; --- ;1007;0;0;1496;0;0;0;0;1674;0;0;    0;    0; 1090;    0;    0;0.000;0.000;0.106;0.000;0.000;    0;    0;   45;    0;    0;
    9924;02.12.22;14:07:11;12;128;16; --- ;1207;0;0;1481;0;0;0;0;1624;0;0;    0;    0; 1069;    0;    0;0.000;0.000;0.088;0.000;0.000;    0;    0;   45;    0;    0;
    9984;02.12.22;14:08:11;13;128;16; --- ;1413;0;0;1443;0;0;0;0;1551;0;0;    0;    0; 1037;    0;    0;0.000;0.000;0.070;0.000;0.000;    0;    0;   41;    0;    0;
   10044;02.12.22;14:09:11;14;128;16; --- ;1676;0;0;1421;0;0;0;0;1508;0;0;    0;    0; 1017;    0;    0;0.000;0.000;0.058;0.000;0.000;    0;    0;   41;    0;    0;
