
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878462598;24.11.22;14:43:18;Type: LC 
3878462599;24.11.22;14:43:19;20180201.par
3878462598;24.11.22;14:43:18;1;7;17; --- ;0;Fo: ;0;0;1108;0;0;Fm: ;0;0;1473;0;0
3878462598;24.11.22;14:43:18;1;1;17; --- ;0;0;0;1108;0;0;0;0;1473;0;0;    0;    0; 1108;    0;    0;0.000;0.000;0.248;0.000;0.000;    0;    0;    0;    0;    0;
3878462659;24.11.22;14:44:19;2;32;17; --- ;5;0;0;1160;0;0;0;0;1499;0;0;    0;    0; 1123;    0;    0;0.000;0.000;0.226;0.000;0.000;    0;    0;    0;    0;    0;
3878462719;24.11.22;14:45:19;3;64;17; --- ;10;0;0;1170;0;0;0;0;1504;0;0;    0;    0; 1125;    0;    0;0.000;0.000;0.222;0.000;0.000;    0;    0;    0;    0;    0;
3878462779;24.11.22;14:46:19;4;128;17; --- ;21;0;0;1193;0;0;0;0;1535;0;0;    0;    0; 1143;    0;    0;0.000;0.000;0.223;0.000;0.000;    0;    0;    2;    0;    0;
3878462839;24.11.22;14:47:19;5;128;17; --- ;93;0;0;1249;0;0;0;0;1661;0;0;    0;    0; 1211;    0;    0;0.000;0.000;0.248;0.000;0.000;    0;    0;   10;    0;    0;
3878462899;24.11.22;14:48:19;6;128;17; --- ;119;0;0;1256;0;0;0;0;1652;0;0;    0;    0; 1206;    0;    0;0.000;0.000;0.240;0.000;0.000;    0;    0;   12;    0;    0;
3878462959;24.11.22;14:49:19;7;128;17; --- ;178;0;0;1262;0;0;0;0;1612;0;0;    0;    0; 1185;    0;    0;0.000;0.000;0.217;0.000;0.000;    0;    0;   16;    0;    0;
3878463019;24.11.22;14:50:19;8;128;17; --- ;261;0;0;1226;0;0;0;0;1514;0;0;    0;    0; 1131;    0;    0;0.000;0.000;0.190;0.000;0.000;    0;    0;   21;    0;    0;
3878463079;24.11.22;14:51:19;9;128;17; --- ;463;0;0;1203;0;0;0;0;1398;0;0;    0;    0; 1065;    0;    0;0.000;0.000;0.139;0.000;0.000;    0;    0;   27;    0;    0;
3878463139;24.11.22;14:52:19;10;128;17; --- ;753;0;0;1179;0;0;0;0;1310;0;0;    0;    0; 1013;    0;    0;0.000;0.000;0.100;0.000;0.000;    0;    0;   32;    0;    0;
3878463199;24.11.22;14:53:19;11;128;17; --- ;1007;0;0;1185;0;0;0;0;1287;0;0;    0;    0;  999;    0;    0;0.000;0.000;0.079;0.000;0.000;    0;    0;   34;    0;    0;
3878463259;24.11.22;14:54:19;12;128;17; --- ;1207;0;0;1185;0;0;0;0;1264;0;0;    0;    0;  985;    0;    0;0.000;0.000;0.063;0.000;0.000;    0;    0;   32;    0;    0;
3878463319;24.11.22;14:55:19;13;128;17; --- ;1413;0;0;1178;0;0;0;0;1243;0;0;    0;    0;  973;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   31;    0;    0;
3878463379;24.11.22;14:56:19;14;128;17; --- ;1676;0;0;1173;0;0;0;0;1227;0;0;    0;    0;  963;    0;    0;0.000;0.000;0.044;0.000;0.000;    0;    0;   31;    0;    0;
