
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   95260;05.07.22;13:18:39;Type: LC 
   95261;05.07.22;13:18:39;20180201.par
   95260;05.07.22;13:18:39;1;7;15; --- ;0;Fo: ;0;0;907;0;0;Fm: ;0;0;1976;0;0
   95260;05.07.22;13:18:39;1;1;15; --- ;0;0;0;907;0;0;0;0;1976;0;0;0.000;0.000;0.541;0.000;0.000;    0;    0;    0;    0;    0;
   95320;05.07.22;13:19:39;2;32;15; --- ;5;0;0;1009;0;0;0;0;2095;0;0;0.000;0.000;0.518;0.000;0.000;    0;    0;    1;    0;    0;
   95380;05.07.22;13:20:39;3;64;15; --- ;10;0;0;1020;0;0;0;0;2141;0;0;0.000;0.000;0.524;0.000;0.000;    0;    0;    2;    0;    0;
   95440;05.07.22;13:21:39;4;128;15; --- ;21;0;0;1010;0;0;0;0;2172;0;0;0.000;0.000;0.535;0.000;0.000;    0;    0;    5;    0;    0;
   95500;05.07.22;13:22:39;5;128;15; --- ;33;0;0;1026;0;0;0;0;2439;0;0;0.000;0.000;0.579;0.000;0.000;    0;    0;    8;    0;    0;
   95560;05.07.22;13:23:39;6;128;15; --- ;47;0;0;1155;0;0;0;0;2420;0;0;0.000;0.000;0.523;0.000;0.000;    0;    0;   10;    0;    0;
   95620;05.07.22;13:24:39;7;128;15; --- ;81;0;0;1311;0;0;0;0;2230;0;0;0.000;0.000;0.412;0.000;0.000;    0;    0;   14;    0;    0;
   95680;05.07.22;13:25:39;8;128;15; --- ;127;0;0;1313;0;0;0;0;2014;0;0;0.000;0.000;0.348;0.000;0.000;    0;    0;   19;    0;    0;
   95740;05.07.22;13:26:39;9;128;15; --- ;240;0;0;1247;0;0;0;0;1744;0;0;0.000;0.000;0.285;0.000;0.000;    0;    0;   29;    0;    0;
   95800;05.07.22;13:27:39;10;128;15; --- ;404;0;0;1188;0;0;0;0;1556;0;0;0.000;0.000;0.237;0.000;0.000;    0;    0;   40;    0;    0;
   95860;05.07.22;13:28:39;11;128;15; --- ;553;0;0;1177;0;0;0;0;1476;0;0;0.000;0.000;0.203;0.000;0.000;    0;    0;   47;    0;    0;
   95920;05.07.22;13:29:39;12;128;15; --- ;667;0;0;1167;0;0;0;0;1426;0;0;0.000;0.000;0.182;0.000;0.000;    0;    0;   51;    0;    0;
   95980;05.07.22;13:30:39;13;128;15; --- ;787;0;0;1145;0;0;0;0;1368;0;0;0.000;0.000;0.163;0.000;0.000;    0;    0;   54;    0;    0;
   96040;05.07.22;13:31:39;14;128;15; --- ;934;0;0;1153;0;0;0;0;1338;0;0;0.000;0.000;0.138;0.000;0.000;    0;    0;   54;    0;    0;
