
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   92735;05.07.22;12:36:34;Type: LC 
   92737;05.07.22;12:36:35;20180201.par
   92735;05.07.22;12:36:34;1;7;15; --- ;0;Fo: ;0;0;881;0;0;Fm: ;0;0;1737;0;0
   92735;05.07.22;12:36:34;1;1;15; --- ;0;0;0;881;0;0;0;0;1737;0;0;0.000;0.000;0.493;0.000;0.000;    0;    0;    0;    0;    0;
   92796;05.07.22;12:37:35;2;32;15; --- ;5;0;0;966;0;0;0;0;1823;0;0;0.000;0.000;0.470;0.000;0.000;    0;    0;    0;    0;    0;
   92856;05.07.22;12:38:35;3;64;15; --- ;10;0;0;991;0;0;0;0;1931;0;0;0.000;0.000;0.487;0.000;0.000;    0;    0;    2;    0;    0;
   92916;05.07.22;12:39:35;4;128;15; --- ;21;0;0;977;0;0;0;0;1982;0;0;0.000;0.000;0.507;0.000;0.000;    0;    0;    4;    0;    0;
   92976;05.07.22;12:40:35;5;128;15; --- ;33;0;0;986;0;0;0;0;2208;0;0;0.000;0.000;0.553;0.000;0.000;    0;    0;    8;    0;    0;
   93036;05.07.22;12:41:35;6;128;15; --- ;47;0;0;1087;0;0;0;0;2149;0;0;0.000;0.000;0.494;0.000;0.000;    0;    0;   10;    0;    0;
   93096;05.07.22;12:42:35;7;128;15; --- ;81;0;0;1221;0;0;0;0;2002;0;0;0.000;0.000;0.390;0.000;0.000;    0;    0;   13;    0;    0;
   93156;05.07.22;12:43:35;8;128;15; --- ;127;0;0;1239;0;0;0;0;1849;0;0;0.000;0.000;0.330;0.000;0.000;    0;    0;   18;    0;    0;
   93216;05.07.22;12:44:35;9;128;15; --- ;240;0;0;1164;0;0;0;0;1586;0;0;0.000;0.000;0.266;0.000;0.000;    0;    0;   27;    0;    0;
   93276;05.07.22;12:45:35;10;128;15; --- ;404;0;0;1138;0;0;0;0;1455;0;0;0.000;0.000;0.218;0.000;0.000;    0;    0;   37;    0;    0;
   93336;05.07.22;12:46:35;11;128;15; --- ;553;0;0;1124;0;0;0;0;1376;0;0;0.000;0.000;0.183;0.000;0.000;    0;    0;   43;    0;    0;
   93396;05.07.22;12:47:35;12;128;15; --- ;667;0;0;1106;0;0;0;0;1325;0;0;0.000;0.000;0.165;0.000;0.000;    0;    0;   46;    0;    0;
   93456;05.07.22;12:48:35;13;128;15; --- ;787;0;0;1103;0;0;0;0;1294;0;0;0.000;0.000;0.148;0.000;0.000;    0;    0;   49;    0;    0;
   93516;05.07.22;12:49:35;14;128;15; --- ;934;0;0;1092;0;0;0;0;1248;0;0;0.000;0.000;0.125;0.000;0.000;    0;    0;   49;    0;    0;
