
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   93713;05.07.22;12:52:52;Type: LC 
   93715;05.07.22;12:52:53;20180201.par
   93713;05.07.22;12:52:52;1;7;15; --- ;0;Fo: ;0;0;1044;0;0;Fm: ;0;0;1960;0;0
   93713;05.07.22;12:52:52;1;1;15; --- ;0;0;0;1044;0;0;0;0;1960;0;0;0.000;0.000;0.467;0.000;0.000;    0;    0;    0;    0;    0;
   93774;05.07.22;12:53:53;2;32;15; --- ;5;0;0;1161;0;0;0;0;2028;0;0;0.000;0.000;0.428;0.000;0.000;    0;    0;    0;    0;    0;
   93834;05.07.22;12:54:53;3;64;15; --- ;10;0;0;1167;0;0;0;0;2074;0;0;0.000;0.000;0.437;0.000;0.000;    0;    0;    2;    0;    0;
   93894;05.07.22;12:55:53;4;128;15; --- ;21;0;0;1171;0;0;0;0;2179;0;0;0.000;0.000;0.463;0.000;0.000;    0;    0;    4;    0;    0;
   93954;05.07.22;12:56:53;5;128;15; --- ;33;0;0;1209;0;0;0;0;2669;0;0;0.000;0.000;0.547;0.000;0.000;    0;    0;    8;    0;    0;
   94014;05.07.22;12:57:53;6;128;15; --- ;47;0;0;1347;0;0;0;0;2675;0;0;0.000;0.000;0.496;0.000;0.000;    0;    0;   10;    0;    0;
   94074;05.07.22;12:58:53;7;128;15; --- ;81;0;0;1502;0;0;0;0;2452;0;0;0.000;0.000;0.387;0.000;0.000;    0;    0;   13;    0;    0;
   94134;05.07.22;12:59:53;8;128;15; --- ;127;0;0;1503;0;0;0;0;2226;0;0;0.000;0.000;0.325;0.000;0.000;    0;    0;   17;    0;    0;
   94194;05.07.22;13:00:53;9;128;15; --- ;240;0;0;1392;0;0;0;0;1892;0;0;0.000;0.000;0.264;0.000;0.000;    0;    0;   27;    0;    0;
   94254;05.07.22;13:01:53;10;128;15; --- ;404;0;0;1349;0;0;0;0;1718;0;0;0.000;0.000;0.215;0.000;0.000;    0;    0;   36;    0;    0;
   94314;05.07.22;13:02:53;11;128;15; --- ;553;0;0;1336;0;0;0;0;1631;0;0;0.000;0.000;0.181;0.000;0.000;    0;    0;   42;    0;    0;
   94374;05.07.22;13:03:53;12;128;15; --- ;667;0;0;1332;0;0;0;0;1586;0;0;0.000;0.000;0.160;0.000;0.000;    0;    0;   45;    0;    0;
   94434;05.07.22;13:04:53;13;128;15; --- ;787;0;0;1310;0;0;0;0;1526;0;0;0.000;0.000;0.142;0.000;0.000;    0;    0;   47;    0;    0;
   94494;05.07.22;13:05:53;14;128;15; --- ;934;0;0;1311;0;0;0;0;1494;0;0;0.000;0.000;0.122;0.000;0.000;    0;    0;   48;    0;    0;
