
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878457989;24.11.22;13:26:29;Type: LC 
3878457990;24.11.22;13:26:29;20180201.par
3878457989;24.11.22;13:26:29;1;7;16; --- ;0;Fo: ;0;0;933;0;0;Fm: ;0;0;1409;0;0
3878457989;24.11.22;13:26:29;1;1;16; --- ;0;0;0;933;0;0;0;0;1409;0;0;    0;    0;  933;    0;    0;0.000;0.000;0.338;0.000;0.000;    0;    0;    0;    0;    0;
3878458049;24.11.22;13:27:29;2;32;16; --- ;5;0;0;1028;0;0;0;0;1431;0;0;    0;    0;  943;    0;    0;0.000;0.000;0.282;0.000;0.000;    0;    0;    0;    0;    0;
3878458109;24.11.22;13:28:29;3;64;16; --- ;10;0;0;1021;0;0;0;0;1400;0;0;    0;    0;  929;    0;    0;0.000;0.000;0.271;0.000;0.000;    0;    0;    1;    0;    0;
3878458169;24.11.22;13:29:29;4;128;16; --- ;21;0;0;1025;0;0;0;0;1403;0;0;    0;    0;  930;    0;    0;0.000;0.000;0.269;0.000;0.000;    0;    0;    2;    0;    0;
3878458229;24.11.22;13:30:29;5;128;16; --- ;93;0;0;1067;0;0;0;0;1544;0;0;    0;    0;  990;    0;    0;0.000;0.000;0.309;0.000;0.000;    0;    0;   12;    0;    0;
3878458289;24.11.22;13:31:29;6;128;16; --- ;119;0;0;1045;0;0;0;0;1477;0;0;    0;    0;  962;    0;    0;0.000;0.000;0.292;0.000;0.000;    0;    0;   15;    0;    0;
3878458349;24.11.22;13:32:29;7;128;16; --- ;178;0;0;989;0;0;0;0;1320;0;0;    0;    0;  893;    0;    0;0.000;0.000;0.251;0.000;0.000;    0;    0;   19;    0;    0;
3878458409;24.11.22;13:33:29;8;128;16; --- ;261;0;0;940;0;0;0;0;1191;0;0;    0;    0;  832;    0;    0;0.000;0.000;0.211;0.000;0.000;    0;    0;   23;    0;    0;
3878458469;24.11.22;13:34:29;9;128;16; --- ;463;0;0;880;0;0;0;0;1028;0;0;    0;    0;  749;    0;    0;0.000;0.000;0.144;0.000;0.000;    0;    0;   28;    0;    0;
3878458529;24.11.22;13:35:29;10;128;16; --- ;753;0;0;844;0;0;0;0;932;0;0;    0;    0;  697;    0;    0;0.000;0.000;0.094;0.000;0.000;    0;    0;   30;    0;    0;
3878458589;24.11.22;13:36:29;11;128;16; --- ;1007;0;0;823;0;0;0;0;887;0;0;    0;    0;  671;    0;    0;0.000;0.000;0.072;0.000;0.000;    0;    0;   31;    0;    0;
3878458649;24.11.22;13:37:29;12;128;16; --- ;1207;0;0;808;0;0;0;0;860;0;0;    0;    0;  656;    0;    0;0.000;0.000;0.060;0.000;0.000;    0;    0;   31;    0;    0;
3878458709;24.11.22;13:38:29;13;128;16; --- ;1413;0;0;802;0;0;0;0;846;0;0;    0;    0;  648;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   31;    0;    0;
3878458769;24.11.22;13:39:29;14;128;16; --- ;1676;0;0;792;0;0;0;0;826;0;0;    0;    0;  636;    0;    0;0.000;0.000;0.041;0.000;0.000;    0;    0;   29;    0;    0;
