
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878464129;24.11.22;15:08:49;Type: LC 
3878464130;24.11.22;15:08:49;20180201.par
3878464129;24.11.22;15:08:49;1;7;17; --- ;0;Fo: ;0;0;1007;0;0;Fm: ;0;0;1295;0;0
3878464129;24.11.22;15:08:49;1;1;17; --- ;0;0;0;1007;0;0;0;0;1295;0;0;    0;    0; 1007;    0;    0;0.000;0.000;0.222;0.000;0.000;    0;    0;    0;    0;    0;
3878464189;24.11.22;15:09:49;2;32;17; --- ;5;0;0;1065;0;0;0;0;1341;0;0;    0;    0; 1035;    0;    0;0.000;0.000;0.206;0.000;0.000;    0;    0;    0;    0;    0;
3878464249;24.11.22;15:10:49;3;64;17; --- ;10;0;0;1060;0;0;0;0;1325;0;0;    0;    0; 1025;    0;    0;0.000;0.000;0.200;0.000;0.000;    0;    0;    0;    0;    0;
3878464309;24.11.22;15:11:49;4;128;17; --- ;21;0;0;1066;0;0;0;0;1331;0;0;    0;    0; 1029;    0;    0;0.000;0.000;0.199;0.000;0.000;    0;    0;    2;    0;    0;
3878464369;24.11.22;15:12:49;5;128;17; --- ;93;0;0;1114;0;0;0;0;1435;0;0;    0;    0; 1090;    0;    0;0.000;0.000;0.224;0.000;0.000;    0;    0;    9;    0;    0;
3878464429;24.11.22;15:13:49;6;128;17; --- ;119;0;0;1104;0;0;0;0;1396;0;0;    0;    0; 1067;    0;    0;0.000;0.000;0.209;0.000;0.000;    0;    0;   10;    0;    0;
3878464489;24.11.22;15:14:49;7;128;17; --- ;178;0;0;1088;0;0;0;0;1345;0;0;    0;    0; 1037;    0;    0;0.000;0.000;0.191;0.000;0.000;    0;    0;   14;    0;    0;
3878464549;24.11.22;15:15:49;8;128;17; --- ;261;0;0;1073;0;0;0;0;1288;0;0;    0;    0; 1003;    0;    0;0.000;0.000;0.167;0.000;0.000;    0;    0;   18;    0;    0;
3878464609;24.11.22;15:16:49;9;128;17; --- ;463;0;0;1074;0;0;0;0;1226;0;0;    0;    0;  965;    0;    0;0.000;0.000;0.124;0.000;0.000;    0;    0;   24;    0;    0;
3878464669;24.11.22;15:17:49;10;128;17; --- ;753;0;0;1056;0;0;0;0;1150;0;0;    0;    0;  917;    0;    0;0.000;0.000;0.082;0.000;0.000;    0;    0;   26;    0;    0;
3878464729;24.11.22;15:18:49;11;128;17; --- ;1007;0;0;1055;0;0;0;0;1126;0;0;    0;    0;  902;    0;    0;0.000;0.000;0.063;0.000;0.000;    0;    0;   27;    0;    0;
3878464789;24.11.22;15:19:49;12;128;17; --- ;1207;0;0;1057;0;0;0;0;1115;0;0;    0;    0;  895;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   26;    0;    0;
3878464849;24.11.22;15:20:49;13;128;17; --- ;1413;0;0;1071;0;0;0;0;1119;0;0;    0;    0;  897;    0;    0;0.000;0.000;0.043;0.000;0.000;    0;    0;   25;    0;    0;
3878464909;24.11.22;15:21:49;14;128;17; --- ;1676;0;0;1066;0;0;0;0;1104;0;0;    0;    0;  888;    0;    0;0.000;0.000;0.034;0.000;0.000;    0;    0;   24;    0;    0;
