
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878458961;24.11.22;13:42:41;Type: LC 
3878458962;24.11.22;13:42:41;20180201.par
3878458961;24.11.22;13:42:41;1;7;16; --- ;0;Fo: ;0;0;854;0;0;Fm: ;0;0;1207;0;0
3878458961;24.11.22;13:42:41;1;1;16; --- ;0;0;0;854;0;0;0;0;1207;0;0;    0;    0;  854;    0;    0;0.000;0.000;0.292;0.000;0.000;    0;    0;    0;    0;    0;
3878459021;24.11.22;13:43:41;2;32;16; --- ;5;0;0;883;0;0;0;0;1192;0;0;    0;    0;  846;    0;    0;0.000;0.000;0.259;0.000;0.000;    0;    0;    0;    0;    0;
3878459081;24.11.22;13:44:41;3;64;16; --- ;10;0;0;892;0;0;0;0;1203;0;0;    0;    0;  852;    0;    0;0.000;0.000;0.259;0.000;0.000;    0;    0;    1;    0;    0;
3878459141;24.11.22;13:45:41;4;128;16; --- ;21;0;0;887;0;0;0;0;1189;0;0;    0;    0;  845;    0;    0;0.000;0.000;0.254;0.000;0.000;    0;    0;    2;    0;    0;
3878459201;24.11.22;13:46:41;5;128;16; --- ;93;0;0;916;0;0;0;0;1268;0;0;    0;    0;  884;    0;    0;0.000;0.000;0.278;0.000;0.000;    0;    0;   11;    0;    0;
3878459261;24.11.22;13:47:41;6;128;16; --- ;119;0;0;916;0;0;0;0;1241;0;0;    0;    0;  871;    0;    0;0.000;0.000;0.262;0.000;0.000;    0;    0;   13;    0;    0;
3878459321;24.11.22;13:48:41;7;128;16; --- ;178;0;0;903;0;0;0;0;1169;0;0;    0;    0;  835;    0;    0;0.000;0.000;0.228;0.000;0.000;    0;    0;   17;    0;    0;
3878459381;24.11.22;13:49:41;8;128;16; --- ;261;0;0;883;0;0;0;0;1093;0;0;    0;    0;  795;    0;    0;0.000;0.000;0.192;0.000;0.000;    0;    0;   21;    0;    0;
3878459441;24.11.22;13:50:41;9;128;16; --- ;463;0;0;861;0;0;0;0;1000;0;0;    0;    0;  745;    0;    0;0.000;0.000;0.139;0.000;0.000;    0;    0;   27;    0;    0;
3878459501;24.11.22;13:51:41;10;128;16; --- ;753;0;0;835;0;0;0;0;918;0;0;    0;    0;  698;    0;    0;0.000;0.000;0.090;0.000;0.000;    0;    0;   29;    0;    0;
3878459561;24.11.22;13:52:41;11;128;16; --- ;1007;0;0;833;0;0;0;0;894;0;0;    0;    0;  684;    0;    0;0.000;0.000;0.068;0.000;0.000;    0;    0;   29;    0;    0;
3878459621;24.11.22;13:53:41;12;128;16; --- ;1207;0;0;829;0;0;0;0;875;0;0;    0;    0;  673;    0;    0;0.000;0.000;0.053;0.000;0.000;    0;    0;   27;    0;    0;
3878459681;24.11.22;13:54:41;13;128;16; --- ;1413;0;0;831;0;0;0;0;869;0;0;    0;    0;  670;    0;    0;0.000;0.000;0.044;0.000;0.000;    0;    0;   26;    0;    0;
3878459741;24.11.22;13:55:41;14;128;16; --- ;1676;0;0;836;0;0;0;0;866;0;0;    0;    0;  668;    0;    0;0.000;0.000;0.035;0.000;0.000;    0;    0;   24;    0;    0;
