
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
     301;29.11.21;11:05:07;Type: LC 
     302;29.11.21;11:05:07;20180201.par
     301;29.11.21;11:05:07;1;6;9; --- ;0;Fo: ;0;0;1135;0;0;Fm: ;0;0;2918;0;0
     301;29.11.21;11:05:07;1;2;9; --- ;0;0;0;1135;0;0;0;0;2918;0;0;0.000;0.000;0.611;0.000;0.000;    0;    0;    0;    0;    0;
     392;29.11.21;11:06:38;2;32;9; --- ;5;0;0;1209;0;0;0;0;2855;0;0;0.000;0.000;0.577;0.000;0.000;    0;    0;    1;    0;    0;
     482;29.11.21;11:08:08;3;64;9; --- ;10;0;0;1196;0;0;0;0;2886;0;0;0.000;0.000;0.586;0.000;0.000;    0;    0;    2;    0;    0;
     572;29.11.21;11:09:38;4;128;9; --- ;21;0;0;1199;0;0;0;0;2988;0;0;0.000;0.000;0.599;0.000;0.000;    0;    0;    5;    0;    0;
     662;29.11.21;11:11:08;5;128;9; --- ;33;0;0;1342;0;0;0;0;2841;0;0;0.000;0.000;0.528;0.000;0.000;    0;    0;    7;    0;    0;
     752;29.11.21;11:12:38;6;128;9; --- ;47;0;0;1388;0;0;0;0;2669;0;0;0.000;0.000;0.480;0.000;0.000;    0;    0;    9;    0;    0;
     842;29.11.21;11:14:08;7;128;9; --- ;127;0;0;1568;0;0;0;0;2446;0;0;0.000;0.000;0.359;0.000;0.000;    0;    0;   19;    0;    0;
     932;29.11.21;11:15:38;8;128;9; --- ;240;0;0;1592;0;0;0;0;2276;0;0;0.000;0.000;0.301;0.000;0.000;    0;    0;   30;    0;    0;
    1022;29.11.21;11:17:08;9;128;9; --- ;404;0;0;1641;0;0;0;0;2156;0;0;0.000;0.000;0.239;0.000;0.000;    0;    0;   41;    0;    0;
    1112;29.11.21;11:18:38;10;128;9; --- ;553;0;0;1604;0;0;0;0;1988;0;0;0.000;0.000;0.193;0.000;0.000;    0;    0;   45;    0;    0;
    1202;29.11.21;11:20:08;11;128;9; --- ;667;0;0;1573;0;0;0;0;1883;0;0;0.000;0.000;0.165;0.000;0.000;    0;    0;   46;    0;    0;
    1292;29.11.21;11:21:38;12;128;9; --- ;787;0;0;1557;0;0;0;0;1810;0;0;0.000;0.000;0.140;0.000;0.000;    0;    0;   46;    0;    0;
    1382;29.11.21;11:23:08;13;128;9; --- ;934;0;0;1548;0;0;0;0;1750;0;0;0.000;0.000;0.115;0.000;0.000;    0;    0;   45;    0;    0;
