
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    8259;02.12.22;13:39:26;Type: LC 
    8260;02.12.22;13:39:26;20180201.par
    8259;02.12.22;13:39:26;1;7;16; --- ;1;Fo: ;1182;694;1391;1099;845;Fm: ;2082;1188;2325;1522;1112
    8259;02.12.22;13:39:26;1;1;16; --- ;1;1182;694;1391;1099;845;2082;1188;2325;1522;1112; 1182;  694; 1391; 1099;  845;0.432;0.416;0.402;0.278;0.240;    0;    0;    0;    0;    0;
    8319;02.12.22;13:40:26;2;32;16; --- ;5;0;0;1384;0;0;0;0;2146;0;0; 1182;  694; 1325; 1099;  845;0.000;0.000;0.355;0.000;0.000;    0;    0;    0;    0;    0;
    8379;02.12.22;13:41:26;3;64;16; --- ;10;0;0;1328;0;0;0;0;2041;0;0; 1182;  694; 1284; 1099;  845;0.000;0.000;0.349;0.000;0.000;    0;    0;    1;    0;    0;
    8439;02.12.22;13:42:26;4;128;16; --- ;21;0;0;1343;0;0;0;0;2109;0;0; 1182;  694; 1311; 1099;  845;0.000;0.000;0.363;0.000;0.000;    0;    0;    3;    0;    0;
    8499;02.12.22;13:43:26;5;128;16; --- ;93;0;0;1605;0;0;0;0;2354;0;0; 1182;  694; 1401; 1099;  845;0.000;0.000;0.318;0.000;0.000;    0;    0;   12;    0;    0;
    8559;02.12.22;13:44:26;6;128;16; --- ;119;0;0;1552;0;0;0;0;2248;0;0; 1182;  694; 1363; 1099;  845;0.000;0.000;0.310;0.000;0.000;    0;    0;   15;    0;    0;
    8619;02.12.22;13:45:26;7;128;16; --- ;178;0;0;1560;0;0;0;0;2146;0;0; 1182;  694; 1325; 1099;  845;0.000;0.000;0.273;0.000;0.000;    0;    0;   20;    0;    0;
    8679;02.12.22;13:46:26;8;128;16; --- ;261;0;0;1564;0;0;0;0;2057;0;0; 1182;  694; 1290; 1099;  845;0.000;0.000;0.240;0.000;0.000;    0;    0;   26;    0;    0;
    8739;02.12.22;13:47:26;9;128;16; --- ;463;0;0;1561;0;0;0;0;1925;0;0; 1182;  694; 1237; 1099;  845;0.000;0.000;0.189;0.000;0.000;    0;    0;   37;    0;    0;
    8799;02.12.22;13:48:26;10;128;16; --- ;753;0;0;1603;0;0;0;0;1859;0;0; 1182;  694; 1210; 1099;  845;0.000;0.000;0.138;0.000;0.000;    0;    0;   44;    0;    0;
    8859;02.12.22;13:49:26;11;128;16; --- ;1007;0;0;1619;0;0;0;0;1806;0;0; 1182;  694; 1187; 1099;  845;0.000;0.000;0.104;0.000;0.000;    0;    0;   44;    0;    0;
    8919;02.12.22;13:50:26;12;128;16; --- ;1207;0;0;1573;0;0;0;0;1711;0;0; 1182;  694; 1145; 1099;  845;0.000;0.000;0.081;0.000;0.000;    0;    0;   41;    0;    0;
    8979;02.12.22;13:51:26;13;128;16; --- ;1413;0;0;1493;0;0;0;0;1603;0;0; 1182;  694; 1096; 1099;  845;0.000;0.000;0.069;0.000;0.000;    0;    0;   41;    0;    0;
    9039;02.12.22;13:52:26;14;128;16; --- ;1676;0;0;1471;0;0;0;0;1555;0;0; 1182;  694; 1073; 1099;  845;0.000;0.000;0.054;0.000;0.000;    0;    0;   38;    0;    0;
