
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   96290;05.07.22;13:35:49;Type: LC 
   96291;05.07.22;13:35:49;20180201.par
   96290;05.07.22;13:35:49;1;7;15; --- ;0;Fo: ;0;0;913;0;0;Fm: ;0;0;1965;0;0
   96290;05.07.22;13:35:49;1;1;15; --- ;0;0;0;913;0;0;0;0;1965;0;0;0.000;0.000;0.535;0.000;0.000;    0;    0;    0;    0;    0;
   96350;05.07.22;13:36:49;2;32;15; --- ;5;0;0;1023;0;0;0;0;2094;0;0;0.000;0.000;0.511;0.000;0.000;    0;    0;    1;    0;    0;
   96410;05.07.22;13:37:49;3;64;15; --- ;10;0;0;1031;0;0;0;0;2136;0;0;0.000;0.000;0.517;0.000;0.000;    0;    0;    2;    0;    0;
   96470;05.07.22;13:38:49;4;128;15; --- ;21;0;0;1040;0;0;0;0;2219;0;0;0.000;0.000;0.531;0.000;0.000;    0;    0;    5;    0;    0;
   96530;05.07.22;13:39:49;5;128;15; --- ;33;0;0;1053;0;0;0;0;2505;0;0;0.000;0.000;0.580;0.000;0.000;    0;    0;    8;    0;    0;
   96590;05.07.22;13:40:49;6;128;15; --- ;47;0;0;1174;0;0;0;0;2459;0;0;0.000;0.000;0.523;0.000;0.000;    0;    0;   10;    0;    0;
   96650;05.07.22;13:41:49;7;128;15; --- ;81;0;0;1344;0;0;0;0;2282;0;0;0.000;0.000;0.411;0.000;0.000;    0;    0;   14;    0;    0;
   96710;05.07.22;13:42:49;8;128;15; --- ;127;0;0;1349;0;0;0;0;2075;0;0;0.000;0.000;0.350;0.000;0.000;    0;    0;   19;    0;    0;
   96770;05.07.22;13:43:49;9;128;15; --- ;240;0;0;1276;0;0;0;0;1777;0;0;0.000;0.000;0.282;0.000;0.000;    0;    0;   28;    0;    0;
   96830;05.07.22;13:44:49;10;128;15; --- ;404;0;0;1221;0;0;0;0;1593;0;0;0.000;0.000;0.234;0.000;0.000;    0;    0;   40;    0;    0;
   96890;05.07.22;13:45:49;11;128;15; --- ;553;0;0;1197;0;0;0;0;1495;0;0;0.000;0.000;0.199;0.000;0.000;    0;    0;   46;    0;    0;
   96950;05.07.22;13:46:49;12;128;15; --- ;667;0;0;1206;0;0;0;0;1473;0;0;0.000;0.000;0.181;0.000;0.000;    0;    0;   51;    0;    0;
   97010;05.07.22;13:47:49;13;128;15; --- ;787;0;0;1188;0;0;0;0;1418;0;0;0.000;0.000;0.162;0.000;0.000;    0;    0;   54;    0;    0;
   97070;05.07.22;13:48:49;14;128;15; --- ;934;0;0;1176;0;0;0;0;1369;0;0;0.000;0.000;0.141;0.000;0.000;    0;    0;   55;    0;    0;
